,날짜,호선명,역명,승차총승객수,하차총승객수,등록일자
0,20200624,1호선,서울역,41018,38786,20200627
1,20200624,1호선,동묘앞,5715,6088,20200627
2,20200624,1호선,시청,21261,21090,20200627
3,20200624,1호선,종각,39046,37220,20200627
4,20200624,1호선,종로3가,23144,21891,20200627
5,20200624,1호선,종로5가,21687,21635,20200627
6,20200624,1호선,동대문,10085,10201,20200627
7,20200624,1호선,신설동,13944,14049,20200627
8,20200624,1호선,제기동,13595,13834,20200627
9,20200624,1호선,청량리(서울시립대입구),17964,17940,20200627
10,20200624,2호선,시청,24199,23630,20200627
11,20200624,2호선,을지로입구,39118,39881,20200627
12,20200624,2호선,을지로3가,21452,20827,20200627
13,20200624,2호선,을지로4가,12520,12046,20200627
14,20200624,2호선,동대문역사문화공원(DDP),11128,12374,20200627
15,20200624,2호선,신당,12802,13051,20200627
16,20200624,2호선,상왕십리,13474,13071,20200627
17,20200624,2호선,왕십리(성동구청),15612,12516,20200627
18,20200624,2호선,한양대,7562,8183,20200627
19,20200624,2호선,뚝섬,18908,20444,20200627
20,20200624,2호선,성수,32526,35364,20200627
21,20200624,2호선,건대입구,30118,32880,20200627
22,20200624,2호선,구의(광진구청),23060,22696,20200627
23,20200624,2호선,강변(동서울터미널),29901,28576,20200627
24,20200624,2호선,잠실나루,14344,14034,20200627
25,20200624,2호선,잠실(송파구청),61155,61264,20200627
26,20200624,2호선,잠실새내,20000,20038,20200627
27,20200624,2호선,종합운동장,6622,7382,20200627
28,20200624,2호선,삼성(무역센터),53918,55048,20200627
29,20200624,2호선,선릉,57913,51701,20200627
30,20200624,2호선,역삼,52104,56395,20200627
31,20200624,2호선,강남,84633,84793,20200627
32,20200624,2호선,교대(법원.검찰청),35240,39605,20200627
33,20200624,2호선,서초,23634,23253,20200627
34,20200624,2호선,방배,17381,18071,20200627
35,20200624,2호선,사당,35580,38658,20200627
36,20200624,2호선,낙성대(강감찬),26817,25804,20200627
37,20200624,2호선,서울대입구(관악구청),45564,44455,20200627
38,20200624,2호선,봉천,23426,21672,20200627
39,20200624,2호선,신림,60927,59621,20200627
40,20200624,2호선,신대방,25401,24499,20200627
