지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
108,서울,2020-01-01,-2.2,-6.5,1,.3,1457,9.83,,,,,.1,4.8,50,906,2.6,50,904,.6,509,50,0,,0,,0
108,서울,2020-01-02,1,-.7,1,3.8,1500,,,,,,,6.7,250,1437,4,290,1525,1.2,996,50,,,,,
108,서울,2020-01-03,-.1,-3.4,807,4.6,1547,,,,,,,5.8,270,1122,3.5,270,1422,1.7,1508,290,,,,,
108,서울,2020-01-04,1.2,-2.8,512,6.1,1450,,,,,,,8.5,340,1206,4.5,320,1228,1.9,1623,50,,,,,
108,서울,2020-01-05,1.3,-3.2,821,6.6,1453,,,,,,,4.4,180,1312,2.9,70,2335,1.1,985,50,,,,,
108,서울,2020-01-06,3.1,.6,53,4.6,1158,14.33,,,,,1.8,8.8,70,1505,5.4,70,1739,3.1,2705,70,,,,,
108,서울,2020-01-07,6.3,4.2,1,7.7,2350,24,,,,,46.3,9.5,90,2015,6.3,70,1846,4,3413,70,,,,,
108,서울,2020-01-08,2.4,-.4,2336,8.9,47,9.5,,,,,11.6,11.8,250,49,6.3,270,550,3.3,2875,270,,,,,
108,서울,2020-01-09,-1.2,-3.1,2349,2,1534,,,,,,,7.2,270,1049,4.3,320,1223,2.3,1971,290,,,,,
108,서울,2020-01-10,-.6,-4.3,453,4.2,1534,,,,,,,5.5,320,1810,3.7,320,1408,1.5,1300,290,,,,,
108,서울,2020-01-11,-.1,-2.6,806,3.9,1334,,,,,,,7,320,1949,4.8,340,1956,1.9,1619,290,,,,,
108,서울,2020-01-12,-1,-3.5,633,2.8,1551,,,,,,,6.8,290,1714,4.1,290,1216,2.4,2031,290,,,,,
108,서울,2020-01-13,-2.9,-4.7,632,.2,1422,,,,,,,8.3,270,1404,4.9,320,1218,2.3,1992,290,,,,,
108,서울,2020-01-14,-2.3,-5.7,637,2.6,1413,,,,,,,5.5,320,1516,3.3,320,1428,1.6,1387,290,,,,,
108,서울,2020-01-15,-2.7,-6.4,722,2.2,1510,,,,,,,8,290,1411,4.5,320,1418,1.9,1673,270,,,,,
108,서울,2020-01-16,-1.7,-5.5,816,3.2,1430,,,,,,,6.9,320,1709,4.4,340,1714,1.6,1417,320,,,,,
108,서울,2020-01-17,-.6,-4.8,720,4.9,1449,,,,,,,6.7,320,1952,3.8,320,1927,1.5,1311,290,,,,,
108,서울,2020-01-18,.3,-4.1,802,5.9,1503,,,,,,,6.8,290,1636,4.2,270,1739,1.8,1569,270,,,,,
